text_a,text_b,labels,strata,original_index
,All right,0.0,0,137001
,Because you only have 210 yen in cash,0.0,0,13136
Because there are three wholes and so the denominator is three,Okay,0.0,0,72428
,Whats that fraction called,5.0,5,135058
,She said the mean is three because if you make a bar graph you can split the data and see the mean by putting a mean line where you split the data,0.0,0,36408
,Right now if Hadley and I were really playing I would be up one to zero but then wed go to the second round,0.0,0,122130
,Step 2 multiply step 3 subtract,0.0,0,84352
Square,Perimeter of a square youll be able to remember that yes,1.0,1,7150
,You could do two,0.0,0,110281
,Is this yours now,0.0,0,42307
Wider,Okay so Im going to read to you the answer that they gave in the book,0.0,0,142078
,Kailey,1.0,1,65115
,Can you do this,1.0,1,33718
Yes,Georgia do you have a question or are you done,1.0,1,65564
,Still on this one if Im trying to find theta I know that this is the adjacent and this is the hypotenuse so that means I would go cosine of theta is equal to 58,0.0,0,79550
,Brielle got right to  I like that,0.0,0,53757
,If you can try and eliminate some of your background noise that would be great,0.0,0,85895
,Lets look at it,0.0,0,150593
,Three two one show,0.0,0,67535
,Perimeter which we mark as O,4.0,4,7161
And  then 42 would equal 8,That doesnt help Jeff understand,0.0,0,1460
,Its absolutely going to work guys but why,2.0,2,56049
I did 22 2,Why did you do 22 2,6.0,6,31215
,Why,6.0,6,118861
,Awesome thank you so much Seth,0.0,0,33577
Its increasing by one,Its increasing,3.0,3,3035
,I cant add 34 and 16 because they dont have the same denominator,0.0,0,34038
,Sometimes the first five will be plus three and then the next one will be plus two and that messes it up,0.0,0,40507
,Its up to you,0.0,0,119936
,There you go huge,0.0,0,35679
,Okay cuz this just goes right through the middle of that box this is going to be 55,0.0,0,97031
No,No,3.0,3,80022
,Thats,0.0,0,143622
,Now the fact is they continued things like this every day okay,1.0,1,12228
Um so like technically all we gotta do when we see like multi digit multiplication problems is add zeros to like after our numbers,So I dont wanna get too far into that answer,0.0,0,121543
,seeing some great graphs make sure that youre specific on your graphs I see a couple people who are just drawing a line thats close but its not exact,0.0,0,96518
,Would you put it in the same place,2.0,2,22236
So thats also the same,Yeah you know I see,0.0,0,149311
,I want a reason why,6.0,6,77634
Adjacent,Adjacent,3.0,3,106751
,Give me a thumbs up when youre done writing this so that I know that youre ready to move on to the next step,1.0,1,35550
,Anybody else what do you think,2.0,2,24002
,How do I take the words a number plus negative three and make it a variable expression,5.0,5,19739
,Youre going to have to create your own value ordered or ordered value bar charts tomorrow,0.0,0,36080
,While you guys were working I did the horns and I did this part,0.0,0,127699
Because you uh you were gonna split up a big one so but  then she ran back and got the little one and split that in half  and gave that half to him and then she took the big one and  got a third of it and ate that piece,Sort of a little dishonest is she,1.0,1,27644
Um we do it by square inches,By square inches,3.0,3,22793
I have 24 now,Okay,0.0,0,51007
Sounds good,Why dont you go through and when youre all done Ill ask my question,0.0,0,29983
,So  Oh you need me to check   Good job girl,0.0,0,144238
,47 hundreds,0.0,0,48627
,So 10 what number would be 100,5.0,5,90731
,Blake did his by,2.0,2,144457
,Okay so those are all our test topics,0.0,0,98211
,The two mixtures are the same,0.0,0,87870
,Before I give you the ones that Im thinking about can you tell me what needs to happen in order for your team to be incredibly successful,5.0,5,39512
Shes like one two threes and fours,Reuben are you saying that it shows numbers in order,1.0,1,33345
,Yeah its gonna be two,0.0,0,100543
,How do we get to six hours,5.0,5,77793
Seven,Seven,3.0,3,129182
,So go ahead and do the math,0.0,0,144574
,That place value thing again,0.0,0,132626
,Then  do you have a Khan Academy account,0.0,0,42304
15,So what do I subtract from 16,5.0,5,115351
,Can we do this by volunteering,1.0,1,79717
,Riley what do you think,6.0,6,123786
Er 12 X is equal to seven,Well no,0.0,0,17776
Yes,Yes okay,4.0,4,34488
,So its the same kind of directions,0.0,0,105738
,Compared to nine hundreds is how many pennies,5.0,5,148395
,Why not,6.0,6,121695
,Craig Briella,0.0,0,118880
,Tangent of theta which of those six things are equivalent to it,5.0,5,81459
,No,0.0,0,50282
,Lets see Hudson what did you and your partner talk about in terms of when you just saw it what did you know you had to do,5.0,5,31830
,Okay,0.0,0,96888
,Someone new these guys have all shared yay Franc,1.0,1,60637
,thank you Emelia,0.0,0,148226
,Okay,0.0,0,86867
Either add it three  times or multiply it,Okay and then whats my answer Diego,5.0,5,130702
,he said was they had different what,2.0,2,76580
,zero is just flat,0.0,0,96139
,So if its a perfectly flat line slope of zero,0.0,0,99020
,Lets make a graph,0.0,0,98416
,I brought my candy jar and,0.0,0,140604
,Call a friend to help you out,2.0,2,68815
,Does everyone have this,2.0,2,50572
310,310,3.0,3,63569
,To start with you are going to see if the value of the expression is greater or less than,0.0,0,47948
,Andrew,1.0,1,22405
,Okay,0.0,0,94180
,If we pose this question in connection with factorizing maybe factorizing could help us along the track,1.0,1,16386
,Predict if its linear or not make a graph and then write an equation,0.0,0,40964
,Now if it was marbles youre absolutely right,0.0,0,59087
,But guys this is not going to be staying with you so dont get used to it,0.0,0,122496
,And just really pay attention to these three different names As youre doing these,0.0,0,103257
,Do you agree with Cooper,2.0,2,114962
,Try in two to three see what you can come up with,0.0,0,75495
50,50 what,5.0,5,81119
,We are trying to find the slope of the line that goes through these two points,0.0,0,100175
,Yes,0.0,0,39164
,Table two do you want to be completely done with this,0.0,0,33899
,I dont Thats why I do it that way,0.0,0,19751
,What would be the formula for perimeter,5.0,5,75425
How many are red,34 of the roses are red,0.0,0,62537
It was bigger by one one sixth,Ok so does that mean we have a different answer,1.0,1,3912
,Okay sorry,0.0,0,82708
,There were a lot of you that made the same mistake,0.0,0,65635
X Y and Z,Aha,0.0,0,16941
,So if you want to use the student work to help find the solution you will have a little bit more time in class to kind of answer these questions,0.0,0,3061
,But I still had a question,0.0,0,21920
,Try to put it into words,0.0,0,79380
,So lets talk about this one a little bit,0.0,0,98899
,And we had spoken about where do we see negative numbers right,1.0,1,125245
,Paul,1.0,1,7153
,You guys are better at that than me,0.0,0,107996
Well one half plus one half equals a whole and two fourths  plus two fourths equals a whole,Well thats an interesting argument one half plus one half  equals a whole and two fourths plus two fourths equals a  whole,0.0,0,28173
I see on both sides of the hand each side has cup and pint,Pints good,4.0,4,124514
,So you are looking at page 48,0.0,0,132890
,Im like if I thought it was something funny,0.0,0,140139
,What can we do so that maybe our hamster could get a whole number of treats,5.0,5,37671
,It is kind of,0.0,0,94570
,Charlotte,1.0,1,76048
Because its more than 5 or greater than five,What do you mean by that,5.0,5,115746
,You guys can take turns and explain what you did what was your strategy show and explain how you solved the problem,0.0,0,77988
,So you can test it using all of these values,0.0,0,2928
Sir at 20 you just have to add uh,With,5.0,5,15299
,Explain to me what you chose for your top number at the top of your subtraction problem,5.0,5,49555
Yes I had X times X or so,Just four X,0.0,0,14121
,If you wrote this down and you are good to go with prime and composite,0.0,0,82900
,2 times 3 times 1 is 6,0.0,0,37236
No,No,3.0,3,21182
Orange and red,Orange and red,3.0,3,26493
,Right,0.0,0,25257
,You know how to do this,0.0,0,67708
,Okay,0.0,0,120646
,As long as I give you a fraction that is cut into tenths or hundredths or thousandths its easy,0.0,0,54895
Because we multiplied the first number by two and thats the xaxis,xaxis,1.0,1,62242
But I just cant really find 2 and 6,Well could you scale it to something else even,0.0,0,87113
You talk too much you stupid,If you were to make a triangle somewhere if you draw a line where would you get a triangle,5.0,5,11120
,What about the answer here,5.0,5,19309
So for number five I didnt completely finish it but what I said,Why did you not completely finish it and youre standing,0.0,0,143065
,I mean why do  you think that that works,6.0,6,30828
,This should be connected to that,0.0,0,112546
Zero,Zeros,4.0,4,59014
Mmhmm,I like your strategy to think about it like an array,0.0,0,93935
,Okay,0.0,0,99197
,Any questions,1.0,1,146040
,Stand up if youve used this strategy before multiplying two denominators together,1.0,1,61771
,First of all you must figure out the estimate,0.0,0,8535
,Asher,1.0,1,51718
,So if I want it to get bigger I have to move it one step to the,0.0,0,147203
,Is that true,1.0,1,35472
improving and breaking apart,Okay,0.0,0,109876
