text_a,text_b,labels,strata,original_index
How many whole pieces do I have Clay,Four,3.0,3,35111
Okay you re right it s six,Amy we re done,1.0,1,13615
So what  do you guys think,Oh wait a minute,0.0,0,19796
One X,The two,1.0,1,9594
Because zero five ten fifteen 15 would go in there,100 would go in there 1000 would go in there,4.0,4,10838
Zero,And the Answer is 131,3.0,3,38264
This is not it,We had four pieces left over,1.0,1,51962
Thats pretty close to the middle right,Yes,0.0,0,29972
Do you wanna,Nine,1.0,1,17986
Okay so how would I do that,Down in the middle,3.0,3,30783
Or we list all of them,You list all of them,0.0,0,49732
The  model we did before I believe was three oranges and like  something else,No it wasnt cause I remember your original model was an orange  a blue and a black and then I thought if we doubled it,4.0,4,15412
Uh huh,Then again minus 24 H  and then simply plus three,3.0,3,7708
Does the board look exactly like whats on your sheet,Yes,0.0,0,45192
No,You can put that in the beginning on the number line  but when you think of fractions you could put it in anyone  of these places as long as like you are not basically trying  to divide put another rod in there like this then you would have to put something through there,4.0,4,10923
Very good yes,And then the slope is two,3.0,3,6876
Tim whats a mixed number,A mixed number is a number that is,0.0,0,34667
What was it,,3.0,3,37826
I see a 25 first,Yes I thought it was 25 before I did the,3.0,3,26832
Six seven and eight can be hit three times right,So that means give this to player A again and and this one to player B and this one we re not sure what we re going to do with yet,4.0,4,17747
So Im going to ask Amy to talk about her thinking so that my friend  they have two different ways to do this,So my thinking at first I dont know if this will work though it would be like 5 divided by 3 but I dont know if you can really do 5 divided by 3,4.0,4,50934
Colins got a good start,,3.0,3,41873
How many whole nines do you have in 10,Did I add it correctly,0.0,0,35424
Comes from because if we change the total number of slices of pizza that we have were also changing the number we have to,Eat,3.0,3,30416
17 divided by three right,Yeah,0.0,0,42169
How many zeros should you have,Six,3.0,3,23643
Theres your picture in your head do those two dots have the same cosine,No,0.0,0,37457
I dont really get this one,Its kind of like what I did,0.0,0,1451
Seven you won,So there s one seven in the game,1.0,1,18364
Six is me,Ha we don t have a six,1.0,1,18543
And that s what s weird about it,Because like it s just it s however the luck is going,4.0,4,18803
Yes we could round down 58,Yes,0.0,0,25935
