,utteranceID,Group_x,Start_x,End_x,CPS_CONST_SharesU_Situation,CPS_CONST_SharesU_CorrectSolutions,CPS_CONST_SharesU_IncorrectSolutions,CPS_CONST_EstablishesCG_Confirms,CPS_CONST_EstablishesCG_Interrupts,CPS_NEG_Responds_Reasons,CPS_NEG_Responds_QuestionsOthers,CPS_NEG_Responds_Responds,CPS_NEG_MonitorsE_Results,CPS_NEG_MonitorsE_Strategizes,CPS_NEG_MonitorsE_Save,CPS_NEG_MonitorsE_GivingUp,CPS_MAINTAIN_Initiative_Suggestions,CPS_MAINTAIN_Initiative_Compliments,CPS_MAINTAIN_Initiative_Criticizes,CPS_MAINTAIN_FulfillsR_Support,CPS_MAINTAIN_FulfillsR_Apologizes,CPS_MAINTAIN_FulfillsR_InitiatesOffTopic,CPS_MAINTAIN_FulfillsR_JoinsOffTopic,Utterance,Start_y,End_y,Group_y,Participant,Transcript
0,Group_01_0,Group_01,3.45,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,7.14,1,4,I just need to calibrate my cameras real quick
1,Group_01_1,Group_01,9.87,12.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.87,12.45,1,4,Alright so
2,Group_01_2,Group_01,12.63,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.63,15.75,1,4,The task that you are doing today is called the weights task
3,Group_01_3,Group_01,16.2,21.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16.2,21.36,1,4,In the first part you are going to work together to determine the weight of 5 cubes
4,Group_01_4,Group_01,22.17,24.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22.17,24.27,1,4,Um and then
5,Group_01_5,Group_01,24.42,27.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24.42,27.72,1,4,And we will tell you that this red cube on top is ten grams
6,Group_01_6,Group_01,29.08,29.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29.08,29.83,1,1,Ok yeah  
7,Group_01_7,Group_01,29.84,31.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29.84,31.32,1,4,So uh
8,Group_01_8,Group_01,31.44,34.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31.44,34.56,1,4,You don't need to touch the slider on the scale don't worry about that part at all
9,Group_01_9,Group_01,35.01,36.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35.01,36.99,1,4,Oh
10,Group_01_10,Group_01,37.83,47.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37.83,47.82,1,4,So you have to place sorry please place the scales place the cubes on this worksheet where you prove that they weigh again yes
11,Group_01_11,Group_01,48.27,52.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,48.27,52.25,1,4,And uh as you are filling it out if you guys can fill out the survey you will be group one
12,Group_01_12,Group_01,52.58,54.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,52.58,54.84,1,1,Oh and we don't touch the scale yet
13,Group_01_13,Group_01,54.93,58.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,54.93,58.29,1,4,Um you can touch the scale just like there's a slider
14,Group_01_14,Group_01,58.33,58.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,58.33,58.84,1,3,It's right there
15,Group_01_15,Group_01,59.22,60.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,59.22,60.92,1,4,But like you dont need to do anything with the slider
