group_id,message_id,message_type,origin,original_text,clean_text,annotation_type,annotation_target,annotation_additional,team_performance,performance_change,sol_tracker_message,sol_tracker_all,strata,original_index
6b331b42-c9a7-4ccc-89f4-0589b8dcc79e,f5fc0ac6-4e30-4d82-979f-944548970f85,MESSAGE,Alpaca,'oh yeah you''re right. it doesn''t say anything about consonants','oh yeah you''re right . it doesn''t say anything about consonants',Non-probing-deliberation,Agree,0,0.5,0.0,,"{""Raven"": [""U"", ""8""], ""Alpaca"": [""U"", ""J""], ""Llama"": [""J""], ""Butterfly"": [""U""]}",Non-probing-deliberation,7040
65a49cb8-509d-478c-a2c6-3f27ebc89526,2fa0abe1-1214-426f-add3-88a3e1c6c28b,MESSAGE,Hedgehog,i think we can eliminate flipping P and 4 due to that,i think we can eliminate flipping <CARD> and <CARD> due to that,Non-probing-deliberation,Solution,0,0.5,-0.15,"P,4","{""Lion"": [""E""], ""Hedgehog"": [""P"", ""4""], ""Bat"": [""E""], ""Hamster"": [""E"", ""9"", ""P"", ""4""], ""Chipmunk"": [""E"", ""9"", ""P"", ""4""]}",Non-probing-deliberation,6692
f4848857-5c76-4052-8d5f-dc4c788e7268,5dea4c55-b4a7-4452-a4c8-b6ab999bfc9d,MESSAGE,Duck,"I selected the ""U"" and ""6"" card","I selected the "" <CARD> "" and "" <CARD> "" card",Non-probing-deliberation,Solution,complete_solution,0.625,0.0,"U,6","{""Lobster"": [""3"", ""U"", ""6""], ""Duck"": [""U"", ""6""]}",Non-probing-deliberation,16546
3c440b2a-b483-4ad4-a1ec-c66df4bddbe9,5ae46f6a-72ec-4b37-90d9-ffb5fe4f522a,MESSAGE,Guinea pig,ok ill choose z and 5,ok ill choose <CARD> and <CARD>,Non-probing-deliberation,Solution,complete_solution,0.417,-0.083,"5,Z","{""Llama"": [""5"", ""2"", ""A"", ""Z""], ""Guinea pig"": [""5"", ""Z""], ""Tiger"": [""Z""]}",Non-probing-deliberation,3791
b8ea60b6-8519-428d-9aae-69b204dcb7b8,63087726-bd76-4ca1-9b7f-a2f6335cb0d5,MESSAGE,Zebra,"exactly Bee. I think either just the U, or all 4. GP, what is your reasoning for choosing another in addition to U?","exactly <MENTION> . I think either just the <CARD> , or all <CARD> . GP , what is your reasoning for choosing another in addition to <CARD> ?",Non-probing-deliberation,Reasoning,"partial_solution,specific_addressee",0.5,0.0,"U,4,5,P","{""Guinea pig"": [""5"", ""U"", ""P"", ""4""], ""Bee"": [""5"", ""U"", ""P"", ""4""], ""Zebra"": [""U"", ""4"", ""5"", ""P""]}",Non-probing-deliberation,12166
f8704b44-06e5-4938-8c61-6a64aabf442b,2d664e9b-78c7-4dc4-b21b-b8ebf445cd71,MESSAGE,Bee,What about Zebra?,What about Zebra ?,Probing,Moderation,specific_addressee,0.5,0.0,,"{""Zebra"": [""5"", ""S"", ""A""], ""Cat"": [""2"", ""A""], ""Bee"": [""2""], ""Llama"": [""5"", ""S"", ""2"", ""A""]}",Probing,16918
975b08c3-6103-445a-92dc-eff7beff9619,0cacc9b9-bb3b-4703-b1cb-c0950ca22feb,MESSAGE,Alpaca,TRUE,TRUE,Non-probing-deliberation,Agree,0,0.75,0.0,,"{""Alpaca"": [""I""], ""Cat"": [""I""], ""Duck"": [""I""]}",Non-probing-deliberation,9949
59695316-8ed5-48e2-b924-ae52555724a9,f97eac7a-a419-4f9d-b624-150d1ef82c84,MESSAGE,Beaver,finale desicion isA,finale desicion isA,Non-probing-deliberation,Solution,complete_solution,0.625,0.0,,"{""Panda"": [""2"", ""A""], ""Chipmunk"": [""2"", ""A""], ""Beaver"": [""A""], ""Butterfly"": [""3"", ""2"", ""A""]}",Non-probing-deliberation,5963
b083a9b8-d784-435c-afb8-a6d793a63dea,45253cf5-1f1b-4437-a377-f7018ad6db04,MESSAGE,Guinea pig,Giraffe? Still there?,<MENTION> ? Still there ?,Probing,Moderation,specific_addressee,0.438,0.0,,"{""Giraffe"": [""E"", ""9"", ""K""], ""Duck"": [""E"", ""2"", ""9"", ""K""], ""Guinea pig"": [""2""], ""Alpaca"": [""2""]}",Probing,11820
d4d97ccf-79cf-4c67-bcd6-eee11c5c423a,0338d77b-e944-415f-b26a-188ff07b9aeb,MESSAGE,Raven,"With understanding the rule; ""All"" should imply every single one, right?","With understanding the rule ; "" All "" should imply every single one , right ?",Non-probing-deliberation,Reasoning,0,0.583,0.0,,"{""Lion"": [""3"", ""F""], ""Narwhal"": [""E""], ""Raven"": [""E"", ""4""]}",Non-probing-deliberation,14184
