Unnamed: 0,utteranceID,Group_x,Start_x,End_x,CPS_CONST_SharesU_Situation,CPS_CONST_SharesU_CorrectSolutions,CPS_CONST_SharesU_IncorrectSolutions,CPS_CONST_EstablishesCG_Confirms,CPS_CONST_EstablishesCG_Interrupts,CPS_NEG_Responds_Reasons,CPS_NEG_Responds_QuestionsOthers,CPS_NEG_Responds_Responds,CPS_NEG_MonitorsE_Results,CPS_NEG_MonitorsE_Strategizes,CPS_NEG_MonitorsE_Save,CPS_NEG_MonitorsE_GivingUp,CPS_MAINTAIN_Initiative_Suggestions,CPS_MAINTAIN_Initiative_Compliments,CPS_MAINTAIN_Initiative_Criticizes,CPS_MAINTAIN_FulfillsR_Support,CPS_MAINTAIN_FulfillsR_Apologizes,CPS_MAINTAIN_FulfillsR_InitiatesOffTopic,CPS_MAINTAIN_FulfillsR_JoinsOffTopic,Utterance,Start_y,End_y,Group_y,Participant,Transcript,CSK_binary,NC_binary,MTF_binary,strata,original_index
2062,Group_09_11,Group_09,61.74,63.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,61.74,63.4,9,2,I would say that's equal probably,0,1,0,010,2062
1032,Group_05_176,Group_05,726.64,728.76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,176,726.64,728.76,5,1,If we decide to continue on the pattern,0,1,0,010,1032
2005,Group_08_266,Group_08,972.42,973.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,266,972.42,973.67,8,3,Oh gotcha,0,1,0,010,2005
1225,Group_06_165,Group_06,672.0,679.25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,165,672.0,679.25,6,2,There's no way that's eighty it feels way heavier but the pattern sticks,0,1,0,010,1225
772,Group_04_90,Group_04,396.5,397.58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,396.5,397.58,4,2,Probably not supposed to know ,0,1,0,010,772
333,Group_02_114,Group_02,524.42,530.37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114,524.42,530.37,2,2,I was thinking one forty first as well but um,0,1,0,010,333
1101,Group_06_41,Group_06,177.57,178.08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41,177.57,178.08,6,2,Fifty,0,1,0,010,1101
645,Group_03_245,Group_03,1312.83,1314.06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,245,1312.83,1314.06,3,3,Sixty and these two,0,1,0,010,645
2163,Group_09_112,Group_09,524.17,526.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112,524.17,526.98,9,2,Yes yes,0,1,0,010,2163
504,Group_03_104,Group_03,576.3,581.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104,576.3,581.25,3,3,Because yeah green is twenty thirty and fifty right so,0,1,0,010,504
2164,Group_09_113,Group_09,524.56,524.85,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113,524.56,524.85,9,1,Yes  ,0,1,0,010,2164
263,Group_02_44,Group_02,199.75,200.82,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,199.75,200.82,2,1,Oh yeah it does,0,1,0,010,263
1563,Group_07_302,Group_07,1249.32,1252.34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,302,1249.32,1252.34,7,3,So where is oh yellow is,0,1,0,010,1563
836,Group_04_154,Group_04,664.32,666.48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,154,664.32,666.48,4,3,The second mystery block could be lighter,0,1,0,010,836
1653,Group_07_392,Group_07,1660.09,1664.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,392,1660.09,1664.33,7,1,It doesn'­t feel correct,0,1,0,010,1653
547,Group_03_147,Group_03,791.37,791.92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,147,791.37,791.92,3,2,Maybe ninety to ,0,1,0,010,547
760,Group_04_78,Group_04,311.91,314.34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,78,311.91,314.34,4,2,True very true,0,1,0,010,760
